X,Y,gml_id,cleabs,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,route,numero,abscisse,ordre,cote,statut,type_de_pr,libelle,identifiant_de_section,code_insee_du_departement,lien_vers_route_nommee,gestionnaire
3.28482473,46.52444106,,POIN_REP0000002496268833,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D227,FS,,999,U,Calculé,FS,,"03-D227-U-1","03",ROUTNOMM0000000106098844,Allier
3.01259565,46.24354285,,POIN_REP0000002496268834,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D118,FS,,999,U,Calculé,FS,,"03-D118-U-2","03",ROUTNOMM0000000106099152,Allier
3.35823142,46.32014418,,POIN_REP0000002496268835,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D232,FS,,999,U,Calculé,FS,,"03-D232-U-2","03",ROUTNOMM0000000106098984,Allier
3.04535309,46.28234964,,POIN_REP0000002496268836,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D129,FS,,999,U,Calculé,FS,,"03-D129-U-4","03",ROUTNOMM0000000106099161,Allier
3.44441814,46.30422982,,POIN_REP0000002496268837,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D268,FS,,999,U,Calculé,FS,,"03-D268-U-1","03",ROUTNOMM0000000106099044,Allier
2.38359363,46.45878673,,POIN_REP0000002496268838,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D112,FS,,999,U,Calculé,FS,,"03-D112-U-2","03",ROUTNOMM0000000106098905,Allier
3.70649036,46.32402217,,POIN_REP0000002496268839,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D269,FS,,999,U,Calculé,FS,,"03-D269-U-1","03",ROUTNOMM0000000106098981,Allier
3.59179415,46.22956978,,POIN_REP0000002496268840,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D173,FS,,999,U,Calculé,FS,,"03-D173-U-1","03",ROUTNOMM0000000106099096,Allier
3.1949862,46.44212167,,POIN_REP0000002496268841,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D291,FS,,999,U,Calculé,FS,,"03-D291-U-2","03",ROUTNOMM0000000106098890,Allier
2.91360348,46.49692564,,POIN_REP0000002496268842,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D459,FS,,999,U,Calculé,FS,,"03-D459-U-1","03",ROUTNOMM0000000106098859,Allier
2.9562511,46.34385443,,POIN_REP0000002496268843,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D543,FS,,999,U,Calculé,FS,,"03-D543-U-1","03",ROUTNOMM0000000106098960,Allier
2.99540044,46.25874355,,POIN_REP0000002496268844,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D308,FS,,999,U,Calculé,FS,,"03-D308-U-2","03",ROUTNOMM0000000106099070,Allier
2.84619814,46.48021086,,POIN_REP0000002496268845,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D11,FS,,999,U,Calculé,FS,,"03-D11-U-1","03",ROUTNOMM0000000106098872,Allier
3.53367134,46.17718588,,POIN_REP0000002496268846,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D76,FS,,999,U,Calculé,FS,,"03-D76-U-2","03",ROUTNOMM0000000106099142,Allier
2.6218838,46.67943952,,POIN_REP0000002496268847,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D250,FS,,999,U,Calculé,FS,,"03-D250-U-4","03",ROUTNOMM0000000106098791,Allier
2.6987367,46.72598106,,POIN_REP0000002496268848,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D28,FS,,999,U,Calculé,FS,,"03-D28-U-1","03",ROUTNOMM0000000106098814,Allier
2.69772886,46.72402992,,POIN_REP0000002496268849,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D28,FS,,999,U,Calculé,FS,,"03-D28-U-1","03",ROUTNOMM0000000106098814,Allier
3.27996971,46.20707974,,POIN_REP0000002496268850,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D518,FS,,999,U,Calculé,FS,,"03-D518-U-1","03",ROUTNOMM0000000106099103,Allier
3.15592251,46.68126497,,POIN_REP0000002496268851,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D58,FS,,999,U,Calculé,FS,,"03-D58-U-2","03",ROUTNOMM0000000106098853,Allier
2.64250653,46.64676328,,POIN_REP0000002496268852,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D445,FS,,999,U,Calculé,FS,,"03-D445-U-2","03",ROUTNOMM0000000106098801,Allier
3.090628,46.14723849,,POIN_REP0000002496268853,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D37,FS,,999,U,Calculé,FS,,"03-D37-U-17","03",ROUTNOMM0000000106099194,Allier
2.61612134,46.2035365,,POIN_REP0000002496268854,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D151,FS,,999,U,Calculé,FS,,"03-D151-U-1","03",ROUTNOMM0000000106099132,Allier
3.00698943,46.21692691,,POIN_REP0000002496268855,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D284,FS,,999,U,Calculé,FS,,"03-D284-U-2","03",ROUTNOMM0000000106099176,Allier
2.7044476,46.64792025,,POIN_REP0000002496268856,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D250,FS,,999,U,Calculé,FS,,"03-D250-U-5","03",ROUTNOMM0000000106098791,Allier
3.45352802,46.68477229,,POIN_REP0000002496268857,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D133,FS,,999,U,Calculé,FS,,"03-D133-U-3","03",ROUTNOMM0000000106098808,Allier
3.03757491,46.6383282,,POIN_REP0000002496268858,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D54,FS,,999,U,Calculé,FS,,"03-D54-U-1","03",ROUTNOMM0000000106098805,Allier
3.51683251,46.17858654,,POIN_REP0000002496268859,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D190,FS,,999,U,Calculé,FS,,"03-D190-U-1","03",ROUTNOMM0000000106099125,Allier
2.59537066,46.43039296,,POIN_REP0000002496268860,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D149,FS,,999,U,Calculé,FS,,"03-D149-U-1","03",ROUTNOMM0000000106098909,Allier
2.95610494,46.65551686,,POIN_REP0000002496268861,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D534,FS,,999,U,Calculé,FS,,"03-D534-U-1","03",ROUTNOMM0000000106098794,Allier
3.42819043,46.14689273,,POIN_REP0000002496268862,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D258,FS,,999,U,Calculé,FS,,"03-D258-U-9","03",ROUTNOMM0000000106099157,Allier
3.87328137,46.4836069,,POIN_REP0000002496268863,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D59,FS,,999,U,Calculé,FS,,"03-D59-U-1","03",ROUTNOMM0000000106099246,Allier
3.52295422,46.48862882,,POIN_REP0000002496268864,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D161,FS,,999,U,Calculé,FS,,"03-D161-U-2","03",ROUTNOMM0000000106098924,Allier
2.99750427,46.75557457,,POIN_REP0000002496268865,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D594,FS,,999,U,Calculé,FS,,"03-D594-U-1","03",ROUTNOMM0000000106098767,Allier
3.20975181,46.53794979,,POIN_REP0000002496268866,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D253,FS,,999,U,Calculé,FS,,"03-D253-U-1","03",ROUTNOMM0000000106098839,Allier
3.75492815,46.2157169,,POIN_REP0000002496268867,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D570,FS,,999,U,Calculé,FS,,"03-D570-U-1","03",ROUTNOMM0000000106099086,Allier
3.03583011,46.63497647,,POIN_REP0000002496268868,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D135,FS,,999,U,Calculé,FS,,"03-D135-U-1","03",ROUTNOMM0000000106098833,Allier
3.77316934,46.4045579,,POIN_REP0000002496268869,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D511,FS,,999,U,Calculé,FS,,"03-D511-U-1","03",ROUTNOMM0000000106098912,Allier
3.40401076,46.65865303,,POIN_REP0000002496268870,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D979A,FS,,999,U,Calculé,FS,,"03-D979A-U-4","03",ROUTNOMM0000000106098822,Allier
3.43198479,46.19457509,,POIN_REP0000002496268871,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D258,FS,,999,U,Calculé,FS,,"03-D258-U-3","03",ROUTNOMM0000000106099157,Allier
2.70051613,46.35799778,,POIN_REP0000002496268872,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D456,FS,,999,U,Calculé,FS,,"03-D456-U-2","03",ROUTNOMM0000000106098967,Allier
3.10903199,46.65998364,,POIN_REP0000002496268873,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D287,FS,,999,U,Calculé,FS,,"03-D287-U-2","03",ROUTNOMM0000000106098789,Allier
3.31238803,46.40622131,,POIN_REP0000002496268874,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D33,FS,,999,U,Calculé,FS,,"03-D33-U-3","03",ROUTNOMM0000000106098968,Allier
3.05551484,46.28507269,,POIN_REP0000002496268875,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D582,FS,,999,U,Calculé,FS,,"03-D582-U-1","03",ROUTNOMM0000000106099077,Allier
3.48524085,46.52837688,,POIN_REP0000002496268876,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D105,FS,,999,U,Calculé,FS,,"03-D105-U-1","03",ROUTNOMM0000000106098997,Allier
3.74282824,46.46111264,,POIN_REP0000002496268877,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D168,FS,,999,U,Calculé,FS,,"03-D168-U-2","03",ROUTNOMM0000000106098933,Allier
3.29491568,46.06254427,,POIN_REP0000002496268878,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D36,FS,,999,U,Calculé,FS,,"03-D36-U-1","03",ROUTNOMM0000000106099225,Allier
2.98126097,46.49968871,,POIN_REP0000002496268879,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D289,FS,,999,U,Calculé,FS,,"03-D289-U-1","03",ROUTNOMM0000000106098860,Allier
3.79605397,46.11667434,,POIN_REP0000002496268880,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D26,FS,,999,U,Calculé,FS,,"03-D26-U-2","03",ROUTNOMM0000000106099178,Allier
